,Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
41,forest_fire_50K_albert_50_MLP_deeplift15,albert,50K,50,96,forest_fire,deeplift,MLP,0.9912,0.8854166666666666,0.0,0.1145833333333333,11.0,0.5,981.2507717609406,100.0,15.0
42,rps_50K_albert_50_MLP_input_change15,albert,50K,50,96,rps,input_change,MLP,0.9984,0.9895833333333334,0.0008665511265164,0.0104166666666666,2.0,0.65,862.3547582626343,100.0,15.0
43,rps_50K_albert_50_MLP_gradient_based15,albert,50K,50,96,rps,gradient_based,MLP,0.9984,0.9791666666666666,0.0,0.0208333333333333,2.0,0.65,2540.271672487259,100.0,15.0
44,rps_50K_albert_50_MLP_deeplift15,albert,50K,50,96,rps,deeplift,MLP,0.9984,0.9791666666666666,0.0,0.0208333333333333,2.0,0.65,946.4944789409636,100.0,15.0
45,sis_50K_grid_49_MLP_input_change15,grid,50K,50,84,sis,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.68,1024.488706111908,100.0,15.0
46,sis_50K_grid_49_MLP_gradient_based15,grid,50K,50,84,sis,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.68,1270.928997039795,100.0,15.0
47,sis_50K_grid_49_MLP_deeplift15,grid,50K,50,84,sis,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.68,1069.8923757076263,100.0,15.0
48,sis_10K_grid_49_MLP_input_change15,grid,10K,50,84,sis,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.68,257.0993568897248,100.0,15.0
49,sis_10K_grid_49_MLP_gradient_based15,grid,10K,50,84,sis,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.68,311.27685260772705,100.0,15.0
50,sis_10K_grid_49_MLP_deeplift15,grid,10K,50,84,sis,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.68,257.0210745334625,100.0,15.0
51,gol_50K_grid_49_MLP_input_change15,grid,50K,50,84,gol,input_change,MLP,0.9966680549770929,1.0,0.0035826242722794,0.0,4.0,0.64,1240.5147726535797,100.0,15.0
52,gol_50K_grid_49_MLP_gradient_based15,grid,50K,50,84,gol,gradient_based,MLP,0.9966680549770929,1.0,0.0035826242722794,0.0,4.0,0.64,1504.656528711319,100.0,15.0
53,gol_50K_grid_49_MLP_deeplift15,grid,50K,50,84,gol,deeplift,MLP,0.9966680549770929,1.0,0.0035826242722794,0.0,4.0,0.64,1293.5945925712583,100.0,15.0
54,gol_10K_grid_49_MLP_input_change15,grid,10K,50,84,gol,input_change,MLP,0.9591836734693877,0.9047619047619048,0.0367218987908643,0.0952380952380952,49.0,0.59,385.5774445533752,100.0,15.0
55,gol_10K_grid_49_MLP_gradient_based15,grid,10K,50,84,gol,gradient_based,MLP,0.9333610995418575,0.9285714285714286,0.0662785490371697,0.0714285714285714,80.0,0.59,439.02885246276855,100.0,15.0
56,gol_10K_grid_49_MLP_deeplift15,grid,10K,50,84,gol,deeplift,MLP,0.9375260308204915,0.9166666666666666,0.0609046126287505,0.0833333333333333,75.0,0.59,385.69612860679626,100.0,15.0
57,forest_fire_10K_grid_49_MLP_input_change15,grid,10K,50,84,forest_fire,input_change,MLP,0.9983340274885465,1.0,0.0017913121361397,0.0,2.0,0.53,340.4542212486267,100.0,15.0
58,forest_fire_10K_grid_49_MLP_gradient_based15,grid,10K,50,84,forest_fire,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.53,415.291063785553,100.0,15.0
59,forest_fire_10K_grid_49_MLP_deeplift15,grid,10K,50,84,forest_fire,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.53,342.60472869873047,100.0,15.0
60,forest_fire_50K_grid_49_MLP_input_change15,grid,50K,50,84,forest_fire,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.54,873.4695677757263,100.0,15.0
61,forest_fire_50K_grid_49_MLP_gradient_based15,grid,50K,50,84,forest_fire,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.54,1244.0844447612762,100.0,15.0
62,forest_fire_50K_grid_49_MLP_deeplift15,grid,50K,50,84,forest_fire,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.54,961.3624618053436,100.0,15.0
63,gol_10K_erdos_50_MLP_input_change15,erdos,10K,50,186,gol,input_change,MLP,0.9976,0.989247311827957,0.0009398496240601,0.010752688172043,3.0,0.68,342.9310734272003,100.0,15.0
